Bureau of Justice Statistics,
Filename: htus8008f34.csv,
Report title: Homicide Trends in United States,
Data source: Supplementary Homicide Report,
Authors: Erica Smith and Alexia Cooper,
Refer questions to: askbjs@usdoj.gov (202) 307-0765,
Date of version: 11/16/11,
,
"Figure 34. Law enforcement officers killed in the line of duty, 1980-2010",
,
Year,Number killed
1980,104
1981,91
1982,92
1983,80
1984,72
1985,78
1986,66
1987,74
1988,78
1989,66
1990,66
1991,71
1992,64
1993,70
1994,79
1995,74
1996,61
1997,70
1998,61
1999,42
2000,51
2001,70
2002,56
2003,52
2004,57
2005,55
2006,48
2007,58
2008,41
2009,48
2010,56
,
"Source:  FBI,  Law Enforcement Officers Killed and Assaulted, 1980-2010",
See also Additional information about the data.,
,
,
,
,
,
,
,
,
,
,
,
,
"Law enforcement officers killed in the line of duty, 1980-2010",
,
Year,Number killed*
1980,104
1981,91
1982,92
1983,80
1984,72
1985,78
1986,66
1987,74
1988,78
1989,66
1990,66
1991,71
1992,64
1993,70
1994,79
1995,74
1996,61
1997,70
1998,61
1999,42
2000,51
2001,70
2002,56
2003,52
2004,57
2005,55
2006,48
2007,58
2008,41
,
"* The 72 deaths that resulted from the events of September 11, 2001 are not included in these totals.",
"Source:  FBI,  Law Enforcement Officers Killed and Assaulted, 1980-2010",
See also Additional information about the data.,
