Bureau of Justice Statistics,,,,,
Filename: htus8008f52a.csv,,,,,
Report title: Homicide Trends in United States,,,,,
Data source: Supplementary Homicide Report,,,,,
Authors: Erica Smith and Alexia Cooper,,,,,
Refer questions to: askbjs@usdoj.gov (202) 307-0765,,,,,
Date of version: 11/16/11,,,,,
,,,,,
,,,,,
"Figure 52a. Number of justifiable homicides by police, by circumstance, 1980-2008",,,,,
,,,,,
Number of justifiable homicides by police,,,,,
,,,,,
Year of offense,Attacked police,Attacked citizen,Fled or resisted,Disrupted crime,Undetermined
1980,183,5,87,133,51
1981,138,7,76,120,42
1982,134,9,55,132,50
1983,171,10,66,120,52
1984,140,8,56,77,52
1985,131,14,62,84,30
1986,144,4,43,64,48
1987,154,8,39,70,29
1988,165,12,43,84,38
1989,186,15,52,82,28
1990,193,10,52,89,41
1991,171,11,53,94,38
1992,237,7,40,92,42
1993,285,4,28,86,52
1994,264,4,36,92,66
1995,220,2,32,84,51
1996,199,5,37,61,54
1997,208,6,28,80,47
1998,207,7,29,80,44
1999,197,6,23,53,29
2000,191,6,15,65,32
2001,229,8,18,74,49
2002,207,6,25,68,35
2003,219,6,27,81,38
2004,250,4,25,43,46
2005,228,8,27,54,33
2006,290,10,19,26,34
2007,265,9,38,59,27
2008,242,17,43,42,32
Note: Justifiable homicides are defined as the killing of a felon by a law enforcement officer in the line of duty or the killing of a felon during the commission of a felony by a private citizen. Numbers are based on only justifiable homicides reported to the FBI’s Supplementary Homicide Reports Program from 1980 through 2008.,,,,,
