Bureau of Justice Statistics,,,
Filename: htus8008f22b.csv,,,
Report title: Homicide Trends in United States,,,
Data source: Supplementary Homicide Report,,,
Authors: Erica Smith and Alexia Cooper,,,
Refer questions to: askbjs@usdoj.gov (202) 307-0765,,,
Date of version: 11/16/11,,,
,,,
,,,
,,,
"Figure 22b. Black male homicide offending rates, by age, 1980-2008",,,
"Rate per 100,000 population ",,,
,Black males, , 
,14-17,18-24,25 or older
1980,79.2,205.2,105.2
1981,82.9,185.9,96.6
1982,70.5,174.2,85.1
1983,58.5,148.7,76.3
1984,53.8,128.9,71.5
1985,68.2,143,68.9
1986,78.2,163.2,77.1
1987,86.2,179.4,69.3
1988,125.6,220.4,72.6
1989,139.3,247.9,67.8
1990,194,290.3,70.2
1991,213.1,363.9,68.5
1992,207.3,324.7,65
1993,246.9,365,59.7
1994,225.3,339.6,53.9
1995,173.5,300.7,49.9
1996,138.4,282.6,45.7
1997,113.5,248.6,43.4
1998,79.7,219.6,37.9
1999,66.2,206.2,34.6
2000,63.2,208.2,36.9
2001,61,202.3,37.7
2002,54.3,186.8,39.8
2003,58.3,192.4,38.5
2004,59.7,177.8,36.7
2005,65.1,197,40.4
2006,79.1,209.5,41.8
2007,84.7,196.9,40.6
2008,64.8,175.8,37.8
