Bureau of Justice Statistics,,,
Filename: htus8008f22c.csv,,,
Report title: Homicide Trends in United States,,,
Data source: Supplementary Homicide Report,,,
Authors: Erica Smith and Alexia Cooper,,,
Refer questions to: askbjs@usdoj.gov (202) 307-0765,,,
Date of version: 11/16/11,,,
,,,
,,,
,,,
"Figure 22c. White female homicide offending rates, by age, 1980-2008",,,
"Rate per 100,000 population ",,,
,White females, , 
,14-17,18-24,25 or older
1980,1,2.9,1.6
1981,1.3,2.4,1.4
1982,1.2,2.6,1.4
1983,1.6,2.3,1.3
1984,1.2,2.7,1.2
1985,0.8,2.4,1.2
1986,1.2,2.2,1.2
1987,1.3,2.5,1.2
1988,1.1,2.4,1.1
1989,1.1,2.6,1.1
1990,1.5,2.7,1.1
1991,1.3,2.6,1
1992,1.4,2.3,0.9
1993,1.3,2.3,1
1994,1.5,2.2,1
1995,1.2,2.1,0.9
1996,1.7,2.7,0.8
1997,1.5,2.7,0.8
1998,1.2,2.4,0.9
1999,1.4,2.3,0.8
2000,1.2,1.9,0.8
2001,1,2.1,0.7
2002,0.9,2.5,0.7
2003,1.3,2.3,0.7
2004,0.8,2.2,0.8
2005,0.7,2,0.8
2006,0.7,2.1,0.7
2007,1,2.5,0.8
2008,1.1,2.5,0.8
